Cohort,Variable,GroupA_N,GroupA_Mean,GroupA_SD,GroupB_N,GroupB_Mean,GroupB_SD,SMD,Test,Statistic,P_value,Imbalance_flag
Arruda,Age,154,38.67644470519214,11.265060595345506,114,37.09773406823012,9.792444671379059,0.14803629291248754,t-test,1.2234046372782121,0.2222881201664566,
Arruda,IMC_PRE,154,39.48958233068296,4.309183637091267,114,38.879182980903266,4.149492738175852,0.1438915384866467,t-test,1.171214429744834,0.24263449361306758,
Arruda,PESO_PRE,154,105.36493524328455,17.69069589930965,110,106.47818228981711,16.808573970115017,-0.06424125206169189,t-test,-0.5190174273399002,0.6042231758748189,
Arruda,Creatinina_PRE,154,0.7129870129870131,0.2402562082067165,113,0.7319469026548672,0.3058210798322854,-0.07024345580920795,t-test,-0.546757128985744,0.5851386394943199,
Arruda,eGFR_IDX_PRE,154,109.74939392558332,19.961114353222627,114,110.38472095779821,23.301769657338276,-0.029627343860784625,t-test,-0.23434026129689745,0.8149378294171038,
Arruda,Sex_Fem_%,154,85.71428571428571,,114,79.82456140350878,,0.1575691064489159,chi2,1.2321876848664672,0.26698200696306074,
Arruda,DM2_%,154,83.76623376623377,,114,89.47368421052632,,-0.16545126476734787,chi2,1.345658838481806,0.24603848065069495,
Arruda,HAS_%,154,67.53246753246754,,114,73.68421052631578,,-0.134433980878751,chi2,0.9083300005332472,0.34055790731613567,
Galvao,Age,40,37.42292950034223,8.253961729517204,64,38.80578370978781,10.73717333229395,-0.1402230136961858,t-test,-0.7386861726129365,0.46187095230982755,
Galvao,IMC_PRE,96,38.96145833333333,5.043982757841616,149,39.41409395973154,4.574858144813451,-0.09501638275481059,t-test,-0.7108239744495448,0.47807229875328044,
Galvao,PESO_PRE,96,106.54374999999999,17.766632311279775,151,107.04370860927152,16.911040086913403,-0.02898673911177026,t-test,-0.21962715843321226,0.8263912876124453,
Galvao,Creatinina_PRE,96,0.7324999999999999,0.15761378513048244,187,0.728716577540107,0.13133499764125364,0.026876765227042073,t-test,0.2019407169576057,0.8402131269091335,
Galvao,eGFR_IDX_PRE,96,107.80317755506955,13.972067643006236,187,108.79928836922029,13.976778814493022,-0.07127710475679577,t-test,-0.5677543885575613,0.5708656768270278,
Galvao,Sex_Fem_%,96,81.25,,187,85.56149732620321,,-0.11790163323620723,chi2,0.5888506852904567,0.4428638960231982,
Galvao,DM2_%,96,37.5,,187,31.016042780748666,,0.13766760192714725,chi2,0.9277064402530484,0.33545961516493594,
Galvao,HAS_%,96,33.33333333333333,,187,22.994652406417114,,0.23425521537938498,chi2,2.9704618325149106,0.08479764288794321,YES
Combined,Age,194,38.41798796192412,10.706354615061278,178,37.711864276430646,10.145397511699741,0.06762493236680152,t-test,0.653060252056808,0.5141234442203172,
Combined,IMC_PRE,250,39.286782715700696,4.602482324936224,263,39.182231406171,4.395385774041157,0.023246584773669813,t-test,0.2628699972720081,0.7927577233703017,
Combined,PESO_PRE,250,105.81760010986328,17.693533665590074,261,106.80536418344784,16.837848179390352,-0.057222723154594195,t-test,-0.6459283960924642,0.518619318509182,
Combined,Creatinina_PRE,250,0.72048,0.21221855825036476,300,0.7299333333333334,0.21392961886638467,-0.044349812637210106,t-test,-0.5182731361132806,0.6044832974248803,
Combined,eGFR_IDX_PRE,250,109.00204683930602,17.89438202539259,301,109.39975121007706,18.061845248527842,-0.022111780650947262,t-test,-0.25862843994941775,0.7960219066184094,
Combined,Sex_Fem_%,250,84.0,,301,83.38870431893687,,0.01653602837520732,chi2,0.006007508593913214,0.938219332251713,
Combined,DM2_%,250,66.0,,301,53.156146179402,,0.2611265632265198,chi2,8.788974957131776,0.003030564875436576,YES
Combined,HAS_%,250,54.400000000000006,,301,42.19269102990033,,0.24439787054117018,chi2,7.675399816368684,0.005597868892603274,YES
