Model,Variable,Coefficient,SE,p
eGFR_indexed,const,143.6749,3.1165,0.0000e+00
eGFR_indexed,time_s1,2.5761,0.4286,1.8529e-09
eGFR_indexed,time_s2,-0.4685,0.0591,2.1994e-15
eGFR_indexed,cohort_galvao,-2.1210,0.7190,3.1784e-03
eGFR_indexed,female,1.4042,0.8321,9.1499e-02
eGFR_indexed,age_baseline,-0.7788,0.0286,8.7156e-163
eGFR_indexed,imc_baseline,-0.0663,0.0660,3.1499e-01
eGFR_idx_interaction,const,143.6808,3.1169,0.0000e+00
eGFR_idx_interaction,time_s1,2.5540,0.4402,6.5741e-09
eGFR_idx_interaction,time_s2,-0.4673,0.0594,3.5687e-15
eGFR_idx_interaction,cohort_galvao,-2.1821,0.7709,4.6441e-03
eGFR_idx_interaction,cohort_x_time,0.0759,0.3446,8.2575e-01
eGFR_idx_interaction,female,1.4038,0.8321,9.1622e-02
eGFR_idx_interaction,age_baseline,-0.7789,0.0286,9.0157e-163
eGFR_idx_interaction,imc_baseline,-0.0660,0.0660,3.1766e-01
eGFR_NI,const,190.2811,2.4841,0.0000e+00
eGFR_NI,time_s1,-11.8897,0.9580,2.2772e-35
eGFR_NI,time_s2,1.0715,0.1718,4.5062e-10
eGFR_NI,cohort_galvao,-3.0314,1.2742,1.7355e-02
eGFR_NI,female,-18.0425,1.4691,1.1446e-34
eGFR_NI,age_baseline,-1.1427,0.0519,1.8432e-107
