Cohort,Window,Variable,N,PRE,POST,Delta,CI95,p_ttest,p_wilcox
Arruda,3M,Creatinina,241,0.72 ± 0.31,0.64 ± 0.19,-0.08,"[-0.12, -0.05]",3.57e-06,1.17e-12
Arruda,3M,eGFR_indexed,246,110.44 ± 21.20,115.97 ± 18.36,5.52,"[2.81, 8.24]",8.98e-05,3.68e-10
Arruda,3M,eGFR_NI,155,136.37 ± 29.76,132.12 ± 26.06,-4.25,"[-8.65, 0.14]",0.0599,2.75e-05
Arruda,3M,BSA,1035,2.12 ± 0.21,1.96 ± 0.19,-0.16,"[-0.16, -0.16]",0.00e+00,7.94e-171
Arruda,3M,Acido_Urico,299,5.84 ± 1.49,5.01 ± 1.40,-0.83,"[-0.97, -0.70]",8.49e-28,2.26e-27
Arruda,6M,Creatinina,149,0.72 ± 0.28,0.67 ± 0.18,-0.04,"[-0.08, -0.01]",0.0210,1.44e-04
Arruda,6M,eGFR_indexed,151,110.35 ± 18.78,112.48 ± 18.10,2.13,"[-0.71, 4.98]",0.1437,0.0015
Arruda,6M,eGFR_NI,73,133.64 ± 24.25,120.95 ± 25.12,-12.69,"[-18.26, -7.11]",2.95e-05,1.49e-06
Arruda,6M,BSA,809,2.12 ± 0.20,1.89 ± 0.19,-0.23,"[-0.23, -0.23]",0.00e+00,1.02e-133
Arruda,6M,Acido_Urico,191,5.94 ± 1.41,5.16 ± 7.06,-0.78,"[-1.73, 0.17]",0.1091,5.57e-27
Arruda,12M,Creatinina,267,0.72 ± 0.27,0.67 ± 0.19,-0.05,"[-0.08, -0.03]",1.91e-04,1.41e-07
Arruda,12M,eGFR_indexed,268,110.02 ± 21.41,113.62 ± 16.42,3.60,"[1.48, 5.72]",9.95e-04,1.81e-04
Arruda,12M,eGFR_NI,154,133.15 ± 29.36,116.95 ± 22.09,-16.19,"[-19.49, -12.89]",2.04e-17,1.04e-16
Arruda,12M,BSA,730,2.11 ± 0.21,1.81 ± 0.18,-0.30,"[-0.31, -0.30]",0.00e+00,3.83e-121
Arruda,12M,Acido_Urico,279,5.83 ± 1.40,4.49 ± 1.29,-1.34,"[-1.49, -1.19]",3.62e-47,3.58e-40
Arruda,24M,Creatinina,179,0.73 ± 0.39,0.69 ± 0.14,-0.04,"[-0.09, 0.01]",0.1115,0.0023
Arruda,24M,eGFR_indexed,180,110.68 ± 21.52,111.53 ± 13.02,0.86,"[-1.58, 3.29]",0.4928,0.5343
Arruda,24M,eGFR_NI,0,—,—,—,—,—,—
Arruda,24M,BSA,0,—,—,—,—,—,—
Arruda,24M,Acido_Urico,194,5.90 ± 1.48,4.52 ± 1.18,-1.38,"[-1.55, -1.21]",1.10e-36,1.57e-27
Arruda,36M,Creatinina,110,0.70 ± 0.18,0.68 ± 0.13,-0.01,"[-0.04, 0.01]",0.2374,0.0510
Arruda,36M,eGFR_indexed,109,110.64 ± 18.45,110.13 ± 13.41,-0.51,"[-2.58, 1.56]",0.6292,0.1859
Arruda,36M,eGFR_NI,0,—,—,—,—,—,—
Arruda,36M,BSA,0,—,—,—,—,—,—
Arruda,36M,Acido_Urico,116,5.75 ± 1.12,4.37 ± 0.93,-1.38,"[-1.56, -1.20]",4.44e-28,1.16e-18
Arruda,60M,Creatinina,133,0.72 ± 0.21,0.72 ± 0.23,0.00,"[-0.03, 0.04]",0.9899,0.0275
