Cohort,Window,N,Delta_NI,Comp_eGFR,Comp_BSA,%BSA (mean),%BSA (median)
Arruda,3M,155,-4.25 ± 27.94,6.58 ± 27.82,-10.83 ± 3.71,56.1%,93.1%
Arruda,6M,73,-12.69 ± 24.30,3.03 ± 24.51,-15.71 ± 4.78,-5.2%,89.8%
Arruda,12M,154,-16.19 ± 20.90,3.51 ± 18.87,-19.70 ± 7.01,73.4%,95.6%
Galvao,3M,89,-6.77 ± 11.38,4.17 ± 10.16,-10.93 ± 5.00,101.3%,85.6%
Galvao,6M,70,-13.31 ± 13.72,3.61 ± 11.85,-16.92 ± 6.49,568.4%,93.0%
Galvao,12M,96,-18.70 ± 11.13,2.94 ± 8.26,-21.63 ± 6.57,109.5%,107.0%
Galvao,24M,47,-21.51 ± 10.81,-0.06 ± 7.48,-21.45 ± 6.36,101.3%,95.7%
Galvao,36M,19,-20.86 ± 17.86,-1.29 ± 13.32,-19.57 ± 8.67,166.9%,89.3%
Galvao,60M,37,-18.38 ± 16.62,-1.09 ± 14.13,-17.29 ± 5.88,89.8%,80.7%
Combined,3M,244,-5.17 ± 23.31,5.70 ± 23.00,-10.87 ± 4.21,72.6%,91.0%
Combined,6M,143,-12.99 ± 19.77,3.31 ± 19.31,-16.30 ± 5.70,275.6%,90.8%
Combined,12M,250,-17.15 ± 17.80,3.29 ± 15.65,-20.44 ± 6.90,87.3%,99.3%
Combined,24M,47,-21.51 ± 10.81,-0.06 ± 7.48,-21.45 ± 6.36,101.3%,95.7%
Combined,36M,19,-20.86 ± 17.86,-1.29 ± 13.32,-19.57 ± 8.67,166.9%,89.3%
Combined,60M,37,-18.38 ± 16.62,-1.09 ± 14.13,-17.29 ± 5.88,89.8%,80.7%
