Cohort,Quartile,N,Mean_TWL_12M,Mean_DELTA_EGFR_IDX_12M,Mean_DELTA_EGFR_NI_12M,Mean_Divergence,Mean_DELTA_BSA_12M,Variable,Spearman_rho,Spearman_p,LR_slope,LR_R2,Pearson_r,Pearson_p
Arruda,Q1,39.0,21.06622394472115,1.2869273889929544,-10.647172644429762,11.934100033422713,-0.19594970729165248,,,,,,,
Arruda,Q2,38.0,28.77753836118841,4.134520142927833,-13.502712001881592,17.637232144809424,-0.2794033561380592,,,,,,,
Arruda,Q3,38.0,32.944682767488786,1.4297818377554405,-19.29453785741041,20.724319695165857,-0.33106880800029276,,,,,,,
Arruda,Q4,39.0,39.57825624537166,5.240329457821404,-21.336806444872597,26.577135902694,-0.41295950798936876,,,,,,,
Galvao,Q1,24.0,25.647992289714352,2.1393734636245174,-13.112424269532243,15.251797733156758,-0.24848643208158136,,,,,,,
Galvao,Q2,24.0,30.678597126329873,4.366201910997153,-13.403533415026395,17.769735326023547,-0.29398063302498123,,,,,,,
Galvao,Q3,24.0,35.35314379576564,1.997162475677424,-20.136669211809025,22.13383168748645,-0.36277899558005994,,,,,,,
Galvao,Q4,24.0,43.0565494614323,1.5717298626086016,-28.131247745539444,29.702977608148046,-0.4652096883609273,,,,,,,
Combined,Q1,63.0,22.693988023776225,2.3242181954485295,-10.872666154767462,13.196884350215988,-0.21561407821947273,,,,,,,
Combined,Q2,62.0,29.507074083780452,3.2471000967407697,-14.65297277951963,17.900072876260406,-0.28767701471823043,,,,,,,
Combined,Q3,62.0,33.816184210557324,2.3302762065388727,-18.39497474784599,20.725250954384855,-0.33753351943099913,,,,,,,
Combined,Q4,63.0,41.08708975737016,3.4217561949986335,-24.675126287216518,28.096882482215147,-0.43634285024252994,,,,,,,
,,,,,,,,,,,,,,
Arruda,,154.0,,,,,,TWL_12M,0.7427109260126338,2.8998127930207928e-28,0.8030431324723782,0.5923460837900887,0.7696402301011095,2.0149271650854348e-31
Galvao,,96.0,,,,,,TWL_12M,0.813002340481764,8.372624048539227e-24,0.8280057065327214,0.710035309542699,0.8426359294159603,5.211622235477127e-27
Combined,,250.0,,,,,,TWL_12M,0.7784111331289405,4.611877848751261e-52,0.8048278494082678,0.6354984013310563,0.7971815359948173,2.8343837180125413e-56
