Cohort,Quartile,N,Mean_DELTA_BSA_12M,Mean_DELTA_EGFR_IDX_12M,Mean_DELTA_EGFR_NI_12M,Mean_Divergence,Variable,Spearman_rho,Spearman_p,LR_slope,LR_R2,Pearson_r,Pearson_p
Arruda,Q1,39.0,-0.4204748160532006,3.868447281264748,-23.7571153054343,27.625562586699054,,,,,,,
Arruda,Q2,38.0,-0.3306633872016923,4.081976007791453,-16.48140466113594,20.563380668927394,,,,,,,
Arruda,Q3,38.0,-0.27622412806542773,3.050236838167622,-13.912859863292852,16.963096701460476,,,,,,,
Arruda,Q4,39.0,-0.19192713402543135,1.1311015429731897,-10.568234110145037,11.699335653118226,,,,,,,
Galvao,Q1,24.0,-0.4717222871637616,2.7987745415750376,-26.835417386050377,29.634191927625412,,,,,,,
Galvao,Q2,24.0,-0.3611296798967169,0.8153824741374951,-21.907013216023255,22.72239569016075,,,,,,,
Galvao,Q3,24.0,-0.29804459160289604,4.707764451374401,-12.584079664614151,17.29184411598855,,,,,,,
Galvao,Q4,24.0,-0.23955919038417525,1.7525462458207617,-13.45736437521933,15.209910621040093,,,,,,,
Combined,Q1,63.0,-0.44416970073149675,3.6515407365454964,-24.90197392747042,28.55351466401591,,,,,,,
Combined,Q2,62.0,-0.33874734052539857,2.5854356633433575,-18.617683343467633,21.20311900681099,,,,,,,
Combined,Q3,62.0,-0.28596796284314474,1.9422682460628837,-15.535029894741275,17.47729814080416,,,,,,,
Combined,Q4,63.0,-0.20827459770514956,3.1274445812056495,-9.55858876733445,12.6860333485401,,,,,,,
,,,,,,,,,,,,,
Arruda,,154.0,,,,,DELTA_BSA_12M,-0.8049401578813346,2.7986749400389083e-36,-70.15653194652998,0.6958531561180755,-0.8341781321265117,4.000856041576183e-41
Galvao,,96.0,,,,,DELTA_BSA_12M,-0.8480330982094411,1.1524453669872781e-27,-64.30651567144075,0.7642520247303333,-0.8742150906558026,2.9941445875362596e-31
Combined,,250.0,,,,,DELTA_BSA_12M,-0.8294183266932269,1.1780055753827631e-64,-67.32758277573436,0.7202216575285756,-0.8486587403241518,1.51292920588e-70
